consumidor_id	email	renda	data_nascimento	acessos	primeiro_login	visualizacoes_divida
59	nome_59@provedor_b.com.br	D	1990-06-25	0	2020-06-16	0
60	nome_60@provedor_c.com.br	C	1977-06-18	73		0
61	nome_61@provedor_a.com.br	D	2001-04-13	11	2020-08-04	6
62	nome_62@provedor_a.com.br	D	1983-04-15	8		0
63	nome_63@provedor_a.com.br	D	1980-09-02	1		0
64	nome_64@provedor_a.com.br	C	1985-11-30	36	2020-08-01	24
65	nome_65@provedor_c.com.br	C	1996-05-25	45	2020-12-29	23
66	nome_66@provedor_a.com.br	C	2000-05-30	2	2020-08-20	2
67	nome_67@provedor_a.com.br	D	1989-02-19	28	2020-06-08	18
68	nome_68@provedor_a.com.br	C	1986-12-31	18	2020-06-22	8
69	nome_69@provedor_c.com.br	C	1971-05-22	28		0
70	nome_70@provedor_a.com.br	C	1978-07-14	60	2020-09-18	31
71	nome_71@provedor_a.com.br	D	1985-01-20	18		0
72	nome_72@provedor_a.com.br	C	1980-04-17	0	2020-09-14	0
73	nome_73@provedor_c.com.br	D	1973-03-04	3		0
74	nome_74@provedor_a.com.br	B	1990-11-14	23	2020-08-21	2
75	nome_75@provedor_a.com.br	C	1976-05-28	33		0
76	nome_76@provedor_b.com.br	B	1991-04-16	16		0
77	nome_77@provedor_a.com.br	D	1998-07-20	47		0
78	nome_78@provedor_a.com.br	D	1996-02-29	12	2020-11-07	8
79	nome_79@provedor_a.com.br	A	1984-02-27	60	2020-04-15	21
80	nome_80@provedor_b.com.br	B	1994-09-29	35		0
81	nome_81@provedor_c.com.br	C	1996-06-22	37		0
82	nome_82@provedor_a.com.br	C	1986-01-06	0	2020-08-25	0
83	nome_83@provedor_a.com.br	D	1995-01-23	36	2020-11-09	21
84	nome_84@provedor_a.com.br	C	1983-03-31	64	2020-12-24	6
85	nome_85@provedor_a.com.br	C	1978-04-09	19	2020-06-01	18
86	nome_86@provedor_a.com.br	C	1981-11-26	39	2020-08-18	34
87	nome_87@provedor_b.com.br	D	1967-03-14	0		0
88	nome_88@provedor_b.com.br	B	1978-03-02	22	2020-08-27	21
89	nome_89@provedor_a.com.br	A	1962-07-30	5	2020-09-28	5
90	nome_90@provedor_c.com.br	D	1986-12-15	32	2020-04-30	28
91	nome_91@provedor_a.com.br	D	1973-06-21	41		0
92	nome_92@provedor_a.com.br	C	1990-02-07	3		0
93	nome_93@provedor_a.com.br	C	1997-12-30	0		0
94	nome_94@provedor_b.com.br	C	1985-09-27	16	2020-09-21	14
95	nome_95@provedor_c.com.br	C	1992-10-16	43	2020-09-23	33
96	nome_96@provedor_a.com.br	D	1987-12-07	39	2020-10-28	16
97	nome_97@provedor_a.com.br	C	1977-08-08	14	2020-11-29	7
98	nome_98@provedor_a.com.br	C	1982-09-24	35		0
99	nome_99@provedor_a.com.br	B	1987-10-12	0	2020-09-04	0
100	nome_100@provedor_a.com.br	D	1982-02-13	55	2020-06-06	25
101	nome_101@provedor_a.com.br	D	1992-01-31	58	2020-12-29	5
102	nome_102@provedor_b.com.br	D	1992-02-14	36		0
103	nome_103@provedor_c.com.br	C	1980-06-23	71	2020-09-21	36
104	nome_104@provedor_b.com.br	D	1989-01-11	17	2020-10-10	9
105	nome_105@provedor_a.com.br	A	1996-02-29	48	2020-11-29	28
106	nome_106@provedor_b.com.br	D	1988-06-06	25		0
107	nome_107@provedor_a.com.br	D	1988-01-05	12	2020-10-04	5
108	nome_108@provedor_c.com.br	C	2000-07-05	49	2020-10-20	30
109	nome_109@provedor_a.com.br	C	1981-06-21	46	2020-12-23	12
110	nome_110@provedor_b.com.br	D	2001-04-13	15		0
111	nome_111@provedor_a.com.br	D	1979-09-11	30		0
112	nome_112@provedor_a.com.br	C	1966-05-27	28	2020-10-24	23
113	nome_113@provedor_a.com.br	D	1984-02-19	1	2020-12-17	1
114	nome_114@provedor_a.com.br	D	1978-09-29	12		0
115	nome_115@provedor_c.com.br	C	1988-12-31	0	2020-11-09	0
116	nome_116@provedor_c.com.br	D	1994-07-09	32	2020-10-16	32
117	nome_117@provedor_a.com.br	B	1982-06-03	0	2020-12-07	0
118	nome_118@provedor_c.com.br	D	1984-06-18	34		0
119	nome_119@provedor_a.com.br	D	2001-04-13	24		0
120	nome_120@provedor_a.com.br	C	1984-12-26	0		0
121	nome_121@provedor_b.com.br	C	1995-02-04	36		0
122	nome_122@provedor_a.com.br	D	1968-09-17	8	2020-02-05	6
123	nome_123@provedor_a.com.br	D	1989-12-09	25	2020-06-22	23
124	nome_124@provedor_a.com.br	C	1984-05-03	11	2020-12-10	10
125	nome_125@provedor_b.com.br	D	1979-04-10	39		0
126	nome_126@provedor_a.com.br	C	1986-05-13	65	2020-12-29	64
127	nome_127@provedor_a.com.br	D	1981-12-19	41		0
128	nome_128@provedor_a.com.br	C	1969-03-23	20		0
129	nome_129@provedor_a.com.br	C	1997-08-23	15	2020-11-18	5
130	nome_130@provedor_a.com.br	D	1990-09-26	19	2020-11-17	7
131	nome_131@provedor_b.com.br	C	1991-06-01	57		0
132	nome_132@provedor_b.com.br	D	1979-04-07	19	2020-08-09	18
133	nome_133@provedor_c.com.br	C	1978-08-19	0	2020-11-20	0
134	nome_134@provedor_a.com.br	B	1986-10-21	17	2020-11-29	10
135	nome_135@provedor_b.com.br	D	1998-06-21	53	2020-08-05	12
136	nome_136@provedor_a.com.br	B	1973-06-17	51		0
137	nome_137@provedor_a.com.br	B	2001-04-13	37	2020-06-22	28
138	nome_138@provedor_a.com.br	D	1972-02-16	29	2020-10-24	12
139	nome_139@provedor_a.com.br	D	2000-12-29	12	2020-12-25	9
140	nome_140@provedor_a.com.br	C	1978-03-23	48		0
141	nome_141@provedor_a.com.br	D	1970-05-13	0		0
142	nome_142@provedor_c.com.br	C	1975-09-15	0	2020-09-23	0
143	nome_143@provedor_a.com.br	C	1998-11-11	63	2020-11-01	20
144	nome_144@provedor_a.com.br	D	2001-04-13	4		0
145	nome_145@provedor_a.com.br	C	2001-04-13	0	2020-12-04	0
146	nome_146@provedor_a.com.br	C	1985-12-12	67		0
147	nome_147@provedor_a.com.br	A	1982-04-27	29	2020-05-21	8
148	nome_148@provedor_a.com.br	A	1976-08-09	0	2020-10-06	0
149	nome_149@provedor_a.com.br	C	1977-06-14	29	2020-09-28	8
150	nome_150@provedor_b.com.br	C	1998-02-08	47		0
151	nome_151@provedor_a.com.br	D	1986-08-17	15	2020-10-09	9
152	nome_152@provedor_b.com.br	D	1995-04-30	35	2020-09-08	7
153	nome_153@provedor_c.com.br	C	1985-08-22	50	2020-06-19	12
154	nome_154@provedor_a.com.br	D	1976-01-22	5		0
155	nome_155@provedor_c.com.br	A	1969-04-21	4	2020-10-04	4
156	nome_156@provedor_a.com.br	D	1980-09-06	33		0
157	nome_157@provedor_c.com.br	C	2001-04-13	28		0
158	nome_158@provedor_c.com.br	C	1975-05-04	53		0
159	nome_159@provedor_a.com.br	C	1979-03-17	24		0
160	nome_160@provedor_a.com.br	B	1976-12-11	7		0
161	nome_161@provedor_b.com.br	D	2000-05-17	59	2020-11-18	40
162	nome_162@provedor_c.com.br	D	1979-12-17	16	2020-08-28	12
163	nome_163@provedor_a.com.br	D	1986-04-28	0	2020-11-30	0
164	nome_164@provedor_c.com.br	C	1970-01-05	51		0
165	nome_165@provedor_b.com.br	D	1976-07-12	23		0
166	nome_166@provedor_a.com.br	D	1982-02-16	32	2020-07-14	13
167	nome_167@provedor_a.com.br	B	1988-09-23	19		0
168	nome_168@provedor_a.com.br	D	1982-08-06	49		0
169	nome_169@provedor_a.com.br	D	1998-12-31	15	2020-08-02	8
170	nome_170@provedor_a.com.br	B	1981-10-03	16	2020-09-20	4
171	nome_171@provedor_c.com.br	C	1978-07-20	39	2020-10-30	4
172	nome_172@provedor_a.com.br	D	1979-10-16	39		0
173	nome_173@provedor_a.com.br	A	1973-12-01	31	2020-09-27	29
174	nome_174@provedor_b.com.br	D	1981-08-23	25	2020-07-20	21
175	nome_175@provedor_b.com.br	C	1983-12-29	36		0
176	nome_176@provedor_a.com.br	C	1980-03-05	0	2020-10-10	0
177	nome_177@provedor_c.com.br	C	1989-12-11	0	2020-04-18	0
178	nome_178@provedor_c.com.br	B	1980-03-14	47	2020-08-19	2
179	nome_179@provedor_c.com.br	D	1976-01-10	38	2020-06-14	16
180	nome_180@provedor_a.com.br	C	1980-10-13	37		0
181	nome_181@provedor_a.com.br	D	2001-04-13	46	2020-10-01	16
182	nome_182@provedor_c.com.br	D	2001-04-13	11		0
183	nome_183@provedor_c.com.br	B	2001-04-13	8	2020-10-07	3
184	nome_184@provedor_a.com.br	D	1988-07-23	64		0
185	nome_185@provedor_a.com.br	C	1990-06-06	0	2020-10-08	0
186	nome_186@provedor_a.com.br	D	2001-04-13	0		0
187	nome_187@provedor_c.com.br	C	1993-10-16	42	2020-10-03	1
188	nome_188@provedor_a.com.br	C	1985-01-09	8		0
189	nome_189@provedor_b.com.br	B	1976-11-14	26	2020-09-22	14
190	nome_190@provedor_a.com.br	D	1998-03-28	5		0
191	nome_191@provedor_a.com.br	D	1982-12-01	70	2020-09-26	36
192	nome_192@provedor_a.com.br	C	1997-02-23	5	2020-06-29	2
193	nome_193@provedor_b.com.br	A	1977-12-13	32	2020-06-13	31
194	nome_194@provedor_a.com.br	C	1993-11-29	3		0
195	nome_195@provedor_b.com.br	C	1990-06-24	0	2020-10-08	0
196	nome_196@provedor_c.com.br	C	1988-10-29	55	2020-11-30	37
197	nome_197@provedor_b.com.br	B	1981-08-07	61	2020-09-12	23
198	nome_198@provedor_a.com.br	D	1987-05-18	16	2020-08-21	12
199	nome_199@provedor_a.com.br	D	1997-01-16	37	2020-09-01	10
200	nome_200@provedor_a.com.br	C	1982-06-05	0	2020-05-22	0
201	nome_201@provedor_a.com.br	D	1995-01-16	0		0
202	nome_202@provedor_a.com.br	D	1989-03-17	0	2020-12-29	0
203	nome_203@provedor_b.com.br	C	1984-08-22	45	2020-10-05	4
204	nome_204@provedor_a.com.br	B	1987-07-31	84		0
205	nome_205@provedor_a.com.br	C	1995-02-04	26	2020-08-30	22
206	nome_206@provedor_b.com.br	C	1967-10-01	0		0
207	nome_207@provedor_b.com.br	D	1977-06-15	30		0
208	nome_208@provedor_a.com.br	C	2001-04-13	0	2020-08-07	0
209	nome_209@provedor_a.com.br	C	1973-01-27	10	2020-06-08	8
210	nome_210@provedor_c.com.br	D	1979-09-19	32	2020-08-31	25
211	nome_211@provedor_a.com.br	A	2001-04-13	32	2020-11-14	4
212	nome_212@provedor_a.com.br	B	1980-03-26	24	2020-08-06	24
213	nome_213@provedor_b.com.br	D	1979-09-20	62		0
214	nome_214@provedor_a.com.br	C	1987-07-02	0	2020-07-16	0
215	nome_215@provedor_a.com.br	C	1979-11-30	21	2020-10-13	14
216	nome_216@provedor_b.com.br	D	1986-11-07	0	2020-07-14	0
217	nome_217@provedor_a.com.br	C	1988-06-02	77	2020-10-20	41
218	nome_218@provedor_a.com.br	D	1983-06-17	25	2020-07-05	8
219	nome_219@provedor_a.com.br	C	1967-12-19	100		0
220	nome_220@provedor_a.com.br	D	1976-03-21	32	2020-07-01	6
221	nome_221@provedor_a.com.br	A	1997-08-17	4		0
222	nome_222@provedor_c.com.br	D	1983-12-02	11		0
223	nome_223@provedor_a.com.br	C	1985-12-09	14		0
224	nome_224@provedor_a.com.br	D	1978-09-28	23	2020-08-18	13
225	nome_225@provedor_a.com.br	C	1994-01-08	27	2020-11-03	18
226	nome_226@provedor_b.com.br	D	1994-03-15	29	2020-08-25	21
227	nome_227@provedor_c.com.br	D	1988-01-08	67		0
228	nome_228@provedor_a.com.br	B	1981-03-19	7	2020-12-12	4
229	nome_229@provedor_a.com.br	C	1998-05-25	26		0
230	nome_230@provedor_a.com.br	B	1983-01-30	41		0
231	nome_231@provedor_c.com.br	C	2000-08-28	0	2020-06-07	0
232	nome_232@provedor_a.com.br	C	1993-03-14	17	2020-06-06	1
233	nome_233@provedor_a.com.br	C	1982-05-14	23		0
234	nome_234@provedor_b.com.br	B	1973-09-27	33	2020-12-04	9
235	nome_235@provedor_c.com.br	D	1976-09-10	30	2020-07-30	13
236	nome_236@provedor_b.com.br	A	1984-03-12	60	2020-07-07	54
237	nome_237@provedor_b.com.br	B	1973-08-16	13	2020-12-29	5
238	nome_238@provedor_b.com.br	A	1984-08-21	40	2020-04-21	4
239	nome_239@provedor_a.com.br	C	1993-06-29	27		0
240	nome_240@provedor_b.com.br	C	1984-03-02	16	2020-10-02	9
241	nome_241@provedor_c.com.br	D	1977-06-09	47	2020-08-02	23
242	nome_242@provedor_b.com.br	D	1987-04-22	41	2020-11-10	2
243	nome_243@provedor_b.com.br	C	1999-08-27	24		0
244	nome_244@provedor_a.com.br	C	1975-05-27	18	2020-10-19	16
245	nome_245@provedor_a.com.br	B	1977-08-03	0	2020-12-29	0
246	nome_246@provedor_b.com.br	C	1995-01-15	25	2020-11-23	2
247	nome_247@provedor_a.com.br	D	1986-02-13	0		0
248	nome_248@provedor_a.com.br	B	1990-05-02	15		0
249	nome_249@provedor_c.com.br	A	1989-09-20	24		0
250	nome_250@provedor_a.com.br	C	1976-12-01	7		0
251	nome_251@provedor_a.com.br	A	1988-02-16	0		0
252	nome_252@provedor_b.com.br	C	1991-10-25	0	2020-05-03	0
253	nome_253@provedor_b.com.br	D	1974-06-10	33		0
254	nome_254@provedor_a.com.br	D	1980-05-11	38		0
255	nome_255@provedor_a.com.br	A	1994-01-12	41	2020-10-23	13
256	nome_256@provedor_a.com.br	A	1981-10-06	0		0
257	nome_257@provedor_c.com.br	D	1967-03-08	23		0
258	nome_258@provedor_a.com.br	B	1994-01-20	0	2020-06-24	0
259	nome_259@provedor_b.com.br	C	1979-12-08	0	2020-09-09	0
260	nome_260@provedor_a.com.br	A	1986-10-25	32	2020-12-16	4
261	nome_261@provedor_a.com.br	C	2001-04-13	56		0
262	nome_262@provedor_a.com.br	D	1975-10-13	32	2020-11-26	7
263	nome_263@provedor_b.com.br	A	1993-07-26	22	2020-09-15	17
264	nome_264@provedor_b.com.br	C	1989-06-01	0	2020-09-22	0
265	nome_265@provedor_a.com.br	D	1963-08-11	35		0
266	nome_266@provedor_a.com.br	D	1995-08-12	31	2020-07-28	15
267	nome_267@provedor_a.com.br	D	1983-06-19	31	2020-12-04	8
268	nome_268@provedor_a.com.br	C	1979-07-27	14	2020-10-26	14
269	nome_269@provedor_a.com.br	D	1978-03-09	12	2020-06-14	8
270	nome_270@provedor_a.com.br	D	1973-03-26	0	2020-09-02	0
271	nome_271@provedor_c.com.br	A	1988-01-08	15	2020-07-20	15
272	nome_272@provedor_a.com.br	D	1974-03-26	30		0
273	nome_273@provedor_a.com.br	A	1982-04-02	2	2020-12-14	1
274	nome_274@provedor_b.com.br	D	1997-09-15	15	2020-09-05	7
275	nome_275@provedor_a.com.br	C	1979-11-28	77		0
276	nome_276@provedor_a.com.br	B	1977-07-22	33		0
277	nome_277@provedor_a.com.br	B	2001-04-13	0	2020-09-12	0
278	nome_278@provedor_a.com.br	C	1987-02-08	12		0
279	nome_279@provedor_c.com.br	C	2001-04-13	19		0
280	nome_280@provedor_a.com.br	C	1986-07-18	41	2020-09-25	18
281	nome_281@provedor_b.com.br	C	1984-10-08	37		0
282	nome_282@provedor_b.com.br	C	1982-11-29	0	2020-06-18	0
283	nome_283@provedor_c.com.br	C	1991-01-20	0		0
284	nome_284@provedor_c.com.br	D	1996-05-18	6		0
285	nome_285@provedor_b.com.br	D	1986-09-29	31	2020-05-20	22
286	nome_286@provedor_a.com.br	B	1980-07-19	9		0
287	nome_287@provedor_a.com.br	B	1998-12-18	25	2020-09-19	7
288	nome_288@provedor_a.com.br	C	2001-04-13	30	2020-10-15	10
289	nome_289@provedor_a.com.br	A	1987-11-02	35	2020-07-05	32
290	nome_290@provedor_c.com.br	D	1990-12-22	0	2020-10-31	0
291	nome_291@provedor_a.com.br	C	1982-06-15	46	2020-11-16	39
292	nome_292@provedor_c.com.br	B	1993-04-21	12	2020-09-20	10
293	nome_293@provedor_a.com.br	D	1983-07-18	58	2020-12-29	15
294	nome_294@provedor_b.com.br	C	1978-02-20	0		0
295	nome_295@provedor_a.com.br	C	1991-03-31	40		0
296	nome_296@provedor_a.com.br	C	1973-02-05	20		0
297	nome_297@provedor_b.com.br	C	1991-12-03	21	2020-10-22	6
298	nome_298@provedor_a.com.br	D	1988-03-12	19	2020-09-13	5
299	nome_299@provedor_a.com.br	D	1978-05-05	36		0
300	nome_300@provedor_a.com.br	D	1987-05-31	0	2020-08-14	0
301	nome_301@provedor_a.com.br	C	2001-04-13	33	2020-09-14	25
302	nome_302@provedor_c.com.br	D	1970-06-07	33	2020-07-11	2
303	nome_303@provedor_a.com.br	C	1974-08-12	42	2020-11-10	1
304	nome_304@provedor_a.com.br	D	1980-01-19	24	2020-09-17	24
305	nome_305@provedor_c.com.br	C	1994-12-29	17	2020-03-24	14
306	nome_306@provedor_b.com.br	D	1983-01-04	17		0
307	nome_307@provedor_a.com.br	C	1988-02-29	9	2020-12-29	1
308	nome_308@provedor_c.com.br	D	1981-05-09	57	2020-08-14	14
309	nome_309@provedor_a.com.br	C	1989-08-17	10		0
310	nome_310@provedor_c.com.br	C	1988-08-04	0	2020-12-29	0
311	nome_311@provedor_c.com.br	C	1976-08-23	5	2020-08-18	5
312	nome_312@provedor_a.com.br	B	1976-01-26	21		0
313	nome_313@provedor_a.com.br	D	1981-06-14	49		0
314	nome_314@provedor_a.com.br	D	2001-04-13	27		0
315	nome_315@provedor_a.com.br	D	1990-11-12	40	2020-03-10	31
316	nome_316@provedor_b.com.br	C	1986-03-25	40	2020-12-23	25
317	nome_317@provedor_b.com.br	D	1988-10-07	23	2020-11-14	11
318	nome_318@provedor_a.com.br	C	1989-01-16	48	2020-11-15	6
319	nome_319@provedor_c.com.br	C	1990-06-24	2		0
320	nome_320@provedor_a.com.br	B	1964-07-07	0	2020-06-04	0
321	nome_321@provedor_a.com.br	D	1970-07-15	24		0
322	nome_322@provedor_a.com.br	D	1997-07-31	0		0
323	nome_323@provedor_c.com.br	D	1976-11-22	18	2020-08-02	11
324	nome_324@provedor_a.com.br	D	1974-03-08	1	2020-09-03	1
325	nome_325@provedor_b.com.br	C	1978-03-15	63		0
326	nome_326@provedor_a.com.br	D	1977-03-16	19	2020-09-22	13
327	nome_327@provedor_a.com.br	D	1979-01-06	25	2020-10-19	7
328	nome_328@provedor_a.com.br	C	1996-07-06	16		0
329	nome_329@provedor_a.com.br	C	1985-09-22	0		0
330	nome_330@provedor_c.com.br	C	1986-11-09	56	2020-12-29	51
331	nome_331@provedor_a.com.br	D	1984-04-21	52		0
332	nome_332@provedor_c.com.br	C	1996-02-23	26	2020-10-13	12
333	nome_333@provedor_a.com.br	D	1991-05-06	14		0
334	nome_334@provedor_c.com.br	C	1991-11-11	23	2020-10-14	5
335	nome_335@provedor_c.com.br	C	1978-11-08	16		0
336	nome_336@provedor_a.com.br	A	2001-04-13	0		0
337	nome_337@provedor_a.com.br	C	1969-01-16	0		0
338	nome_338@provedor_c.com.br	A	1996-06-15	0	2020-12-17	0
339	nome_339@provedor_a.com.br	A	1974-11-15	12	2020-07-17	7
340	nome_340@provedor_c.com.br	D	1978-10-26	79	2020-10-31	76
341	nome_341@provedor_a.com.br	C	1987-02-14	33		0
342	nome_342@provedor_b.com.br	C	1994-12-17	36	2020-12-27	18
343	nome_343@provedor_a.com.br	C	1995-07-10	0	2020-07-17	0
344	nome_344@provedor_b.com.br	D	1984-06-13	0	2020-12-29	0
345	nome_345@provedor_c.com.br	D	1983-09-05	0		0
346	nome_346@provedor_a.com.br	D	1992-07-17	19	2020-12-05	19
347	nome_347@provedor_a.com.br	C	1984-07-07	3	2020-03-26	3
348	nome_348@provedor_c.com.br	C	1987-01-17	28	2020-10-16	26
349	nome_349@provedor_b.com.br	B	1987-11-04	13		0
350	nome_350@provedor_b.com.br	C	2001-04-13	0	2020-07-18	0
351	nome_351@provedor_a.com.br	B	1992-03-23	29	2020-05-18	25
352	nome_352@provedor_b.com.br	D	1992-05-23	38	2020-11-29	3
353	nome_353@provedor_a.com.br	C	1982-03-19	0	2020-04-28	0
354	nome_354@provedor_b.com.br	B	1989-05-19	15	2020-11-06	13
355	nome_355@provedor_a.com.br	A	1974-02-01	30		0
356	nome_356@provedor_a.com.br	D	1992-04-28	49	2020-06-09	17
357	nome_357@provedor_a.com.br	C	1977-09-15	100	2020-10-20	55
358	nome_358@provedor_c.com.br	D	1991-02-12	11	2020-11-07	1
359	nome_359@provedor_a.com.br	D	1973-12-14	0		0
360	nome_360@provedor_c.com.br	C	1976-03-31	19		0
361	nome_361@provedor_b.com.br	D	1973-01-27	36		0
362	nome_362@provedor_a.com.br	D	1989-08-18	0	2020-11-20	0
363	nome_363@provedor_b.com.br	D	2001-04-13	10		0
364	nome_364@provedor_b.com.br	D	1984-10-29	39		0
365	nome_365@provedor_a.com.br	C	1971-12-11	24	2020-12-29	24
366	nome_366@provedor_a.com.br	D	1980-05-03	52	2020-12-08	36
367	nome_367@provedor_b.com.br	C	1984-08-04	14	2020-12-29	9
368	nome_368@provedor_a.com.br	D	1967-03-28	2	2020-11-16	1
369	nome_369@provedor_a.com.br	D	1987-03-20	12		0
370	nome_370@provedor_b.com.br	C	1967-09-28	52	2020-09-08	4
371	nome_371@provedor_c.com.br	A	1988-01-15	49		0
372	nome_372@provedor_a.com.br	C	1991-06-02	9	2020-12-29	3
373	nome_373@provedor_a.com.br	C	1985-09-06	10	2020-10-14	9
374	nome_374@provedor_b.com.br	C	1973-02-20	0	2020-02-29	0
375	nome_375@provedor_a.com.br	D	2001-04-13	49		0
376	nome_376@provedor_a.com.br	C	1967-05-18	17		0
377	nome_377@provedor_c.com.br	A	1971-09-04	36		0
378	nome_378@provedor_a.com.br	C	1982-02-04	68		0
379	nome_379@provedor_a.com.br	C	1982-10-25	48	2020-11-28	35
380	nome_380@provedor_a.com.br	C	1975-07-16	42	2020-11-30	27
381	nome_381@provedor_a.com.br	B	1995-10-04	42		0
382	nome_382@provedor_c.com.br	D	1985-10-27	66		0
383	nome_383@provedor_c.com.br	B	1979-04-13	0		0
384	nome_384@provedor_b.com.br	D	1979-06-10	42		0
385	nome_385@provedor_c.com.br	B	1977-11-03	16		0
386	nome_386@provedor_a.com.br	C	1980-04-16	75	2020-09-29	45
387	nome_387@provedor_a.com.br	D	1985-11-30	38	2020-07-18	27
388	nome_388@provedor_a.com.br	C	1982-02-07	65	2020-12-14	55
389	nome_389@provedor_a.com.br	D	1995-09-09	49	2020-10-22	1
390	nome_390@provedor_a.com.br	C	1999-07-02	76	2020-08-31	18
391	nome_391@provedor_b.com.br	C	1988-10-02	32	2020-12-29	27
392	nome_392@provedor_a.com.br	C	2001-04-13	0	2020-11-21	0
393	nome_393@provedor_b.com.br	B	1979-09-08	20		0
394	nome_394@provedor_a.com.br	C	1964-08-25	15	2020-09-10	9
395	nome_395@provedor_a.com.br	D	1988-05-11	34	2020-07-22	26
396	nome_396@provedor_a.com.br	A	1988-11-13	24	2020-03-24	13
397	nome_397@provedor_b.com.br	A	1992-04-29	20	2020-09-08	1
398	nome_398@provedor_c.com.br	C	1992-07-13	0		0
399	nome_399@provedor_b.com.br	C	1995-03-06	39		0
400	nome_400@provedor_a.com.br	B	1996-11-20	30	2020-08-13	12
401	nome_401@provedor_a.com.br	D	1992-10-04	0	2020-09-25	0
402	nome_402@provedor_b.com.br	C	1983-05-13	0		0
403	nome_403@provedor_a.com.br	D	1988-08-17	10	2020-05-06	9
404	nome_404@provedor_c.com.br	D	1997-01-06	64	2020-11-13	13
405	nome_405@provedor_a.com.br	D	1985-06-21	54		0
406	nome_406@provedor_c.com.br	D	1998-04-02	27		0
